problem,reasoning
"Mark rows downstream for 30 km, then turns around and returns to his original location. The total trip took 8 hr. If the current flows at 2 km/h, how fast would Mark row in still water?"," 
      1. Let x be Mark's rowing speed in still water.  
      2. The speed downstream is (x + 2), and the speed upstream is (x - 2).  
      3. The time for the downstream trip is 30/(x + 2), and the time for the upstream trip is 30/(x - 2).  
      4. The total time for the trip is 8 hours:  
           30/(x + 2) + 30/(x - 2) = 8  
      Final Equations:  
           30/(x + 2) + 30/(x - 2) = 8  
   "  

"A train travelled 240 km at a certain speed. When the engine was replaced by an improved model, the speed was increased by 20 km/hr and the travel time for the trip was decreased by 1 hr. What was the rate of each engine?","
      1. Let x be the speed of the original engine.  
      2. The time for the trip with the original engine is 240/x.  
      3. The time for the trip with the improved engine is 240/(x + 20).  
      4. The improved engine takes 1 hour less:  
           240/(x + 20) = 240/x - 1  
      Final Equations:  
           240/(x + 20) = 240/x - 1  
   "  

"Mr. Jones visits his grandmother, who lives 100 km away, on a regular basis. Recently, a new freeway has opened up, and although the freeway route is 120 km, he can drive 20 km/h faster on average and takes 30 minutes less time to make the trip. What is Mr. Jones’s rate on both the old route and on the freeway?","
      1. Let x be Mr. Jones’s speed on the old route.  
      2. The time for the old route trip is 100/x.  
      3. The time for the freeway trip is 120/(x + 20).  
      4. The freeway trip takes 30 minutes less:  
           120/(x + 20) = 100/x - 0.5  
      Final Equations:  
           120/(x + 20) = 100/x - 0.5  
   "  

"If a cyclist had travelled 5 km/h faster, she would have needed 1.5 hr less time to travel 150 km. Find the speed of the cyclist.","
      1. Let x be the cyclist's speed.  
      2. The time for the trip at speed x is 150/x.  
      3. The time for the trip at speed (x + 5) is 150/(x + 5).  
      4. The difference in time is 1.5 hours:  
           150/x - 150/(x + 5) = 1.5  
      Final Equations:  
           150/x - 150/(x + 5) = 1.5  
   "  

"By going 15 km per hr faster, a transit bus would have required 1 hr less to travel 180 km. What was the average speed of this bus?","
      1. Let x be the bus's speed.  
      2. The time for the trip at speed x is 180/x.  
      3. The time for the trip at speed (x + 15) is 180/(x + 15).  
      4. The difference in time is 1 hour:  
           180/x - 180/(x + 15) = 1  
      Final Equations:  
           180/x - 180/(x + 15) = 1  
   "  

"A cyclist rides to a cabin 72 km away up the valley and then returns in 9 hr. His speed returning is 12 km/h faster than his speed in going. Find his speed both going and returning.","
      1. Let x be the cyclist's speed going to the cabin.  
      2. The speed returning is (x + 12).  
      3. The time for the trip to the cabin is 72/x, and the time for the return trip is 72/(x + 12).  
      4. The total time for the trip is 9 hours:  
           72/x + 72/(x + 12) = 9  
      Final Equations:  
           72/x + 72/(x + 12) = 9  
   "  

"A cyclist made a trip of 120 km and then returned in 7 hr. Returning, the rate increased 10 km/h. Find the speed of this cyclist travelling each way.","
      1. Let x be the cyclist's speed going.  
      2. The speed returning is (x + 10).  
      3. The time for the trip going is 120/x, and the time for the return trip is 120/(x + 10).  
      4. The total time for the trip is 7 hours:  
           120/x + 120/(x + 10) = 7  
      Final Equations:  
           120/x + 120/(x + 10) = 7  
   "  
"The distance between two bus stations is 240 km. If the speed of a bus increases by 36 km/h, the trip would take 1.5 hours less. What is the usual speed of the bus?","
   1. Let x be the usual speed of the bus.  
   2. The time for the trip at speed x is 240/x.  
   3. The time for the trip at speed (x + 36) is 240/(x + 36).  
   4. The difference in time is 1.5 hours:  
       240/x - 240/(x + 36) = 1.5  
   Final Equation:  
       240/x - 240/(x + 36) = 1.5  
"

"The pilot flew at a constant speed for 600 km. Returning the next day, the pilot flew against a headwind of 50 km/h to return to his starting point. If the plane was in the air for a total of 7 hours, what was the average speed of this plane?","
   1. Let x be the plane's speed in still air.  
   2. The time for the trip with the tailwind is 600/(x + 50).  
   3. The time for the return trip with the headwind is 600/(x - 50).  
   4. The total time for both trips is 7 hours:  
       600/(x + 50) + 600/(x - 50) = 7  
   Final Equation:  
       600/(x + 50) + 600/(x - 50) = 7  
"

"Find the length and width of a rectangle whose length is 5 cm longer than its width and whose area is 50 cm².","
   1. Let x be the width of the rectangle.  
   2. The length of the rectangle is (x + 5).  
   3. The area of the rectangle is given by length * width:  
       (x + 5) * x = 50  
   Final Equation:  
       (x + 5) * x = 50  
"

"If the length of each side of a square is increased by 6, the area is multiplied by 16. Find the length of one side of the original square.","
   1. Let x be the length of one side of the original square.  
   2. The area of the original square is x².  
   3. The area of the new square is (x + 6)².  
   4. The new area is 16 times the original area:  
       (x + 6)² = 16 * x²  
   Final Equation:  
       (x + 6)² = 16 * x²  
"
"Nick and Chloe want to surround their 60 by 80 cm wedding photo with matting of equal width. The resulting photo and matting is to be covered by a 1 m2 sheet of expensive archival glass. Find the width of the matting.","  
      1. Let x be the width of the matting.  
      2. The dimensions of the photo with the matting are (60 + 2x) by (80 + 2x).  
      3. The area of the photo and matting is (60 + 2x)(80 + 2x).  
      4. The area is 1 m², or 10000 cm²:  
           (60 + 2x)(80 + 2x) = 10000  
      Final Equations:  
           (60 + 2x)(80 + 2x) = 10000  
   "  

"Find the length and width of a rectangle whose length is 4 cm longer than its width and whose area is 60 cm².","  
      1. Let x be the width of the rectangle.  
      2. The length is x + 4.  
      3. The area of the rectangle is length × width:  
           x(x + 4) = 60  
      Final Equations:  
           x(x + 4) = 60  
   "  

"Find the length and width of a rectangle whose width is 10 cm shorter than its length and whose area is 200 cm².","
      1. Let x be the length of the rectangle.  
      2. The width is x - 10.  
      3. The area of the rectangle is length × width:  
           x(x - 10) = 200  
      Final Equations:  
           x(x - 10) = 200  
   "  

"A large rectangular garden in a park is 120 m wide and 150 m long. A contractor is called in to add a brick walkway to surround this garden. If the area of the walkway is 2800 m², how wide is the walkway?","
      1. Let x be the width of the walkway.  
      2. The dimensions of the garden plus the walkway are (120 + 2x) by (150 + 2x).  
      3. The area of the garden plus the walkway is (120 + 2x)(150 + 2x).  
      4. The area of the walkway is the total area minus the garden area:  
           (120 + 2x)(150 + 2x) - 120 * 150 = 2800  
      Final Equations:  
           (120 + 2x)(150 + 2x) - 120 * 150 = 2800  
   "  

"A park swimming pool is 10 m wide and 25 m long. A pool cover is purchased to cover the pool, overlapping all 4 sides by the same width. If the covered area outside the pool is 74 m², how wide is the overlap area?","
      1. Let x be the width of the overlap.  
      2. The dimensions of the pool cover are (10 + 2x) by (25 + 2x).  
      3. The area of the pool cover is (10 + 2x)(25 + 2x).  
      4. The area outside the pool is the pool cover area minus the pool area:  
           (10 + 2x)(25 + 2x) - 10 * 25 = 74  
      Final Equations:  
           (10 + 2x)(25 + 2x) - 10 * 25 = 74  
   "  

"In a landscape plan, a rectangular flowerbed is designed to be 4 m longer than it is wide. If 60 m² are needed for the plants in the bed, what should the dimensions of the rectangular bed be?","
      1. Let x be the width of the flowerbed.  
      2. The length is x + 4.  
      3. The area of the flowerbed is length × width:  
           x(x + 4) = 60  
      Final Equations:  
           x(x + 4) = 60  
   "  

"If the side of a square is increased by 5 units, the area is increased by 4 square units. Find the length of the sides of the original square.","
      1. Let x be the side length of the original square.  
      2. The area of the original square is x².  
      3. The area of the square with an increased side length is (x + 5)².  
      4. The increase in area is 4 square units:  
           (x + 5)² - x² = 4  
      Final Equations:  
           (x + 5)² - x² = 4  
   "  

"A rectangular lot is 20 m longer than it is wide and its area is 2400 m². Find the dimensions of the lot.","  
      1. Let x be the width of the lot.  
      2. The length is x + 20.  
      3. The area of the lot is length × width:  
           x(x + 20) = 2400  
      Final Equations:  
           x(x + 20) = 2400  
   "  

"The length of a room is 8 m greater than its width. If both the length and the width are increased by 2 m, the area increases by 60 m². Find the dimensions of the room.","
      1. Let x be the width of the room.  
      2. The length is x + 8.  
      3. The area of the room before the increase is (x)(x + 8).  
      4. After increasing both dimensions by 2 m, the area is (x + 2)(x + 10).  
      5. The increase in area is 60 m²:  
           (x + 2)(x + 10) - x(x + 8) = 60  
      Final Equations:  
           (x + 2)(x + 10) - x(x + 8) = 60  
   "  
"The product of two consecutive positive integers is 306. Form the quadratic equation to find the integers, if x denotes the smaller integer.","
      1. Let x be the smaller integer.  
      2. The next integer is x + 1.  
      3. Their product is given as:  
           x(x + 1) = 306  
      Final Equations:  
           x(x + 1) = 306  
   "  

"John and Jivanti together have 45 marbles. Both of them lost 5 marbles each, and the product of the number of marbles they now have is 128. Form the quadratic equation to find how many marbles they had to start with, if John had x marbles.","
      1. Let x be the number of marbles John originally had.  
      2. Jivanti originally had (45 - x) marbles.  
      3. After losing 5 marbles each, John has (x - 5) and Jivanti has (45 - x - 5).  
      4. The product of their remaining marbles is:  
           (x - 5)(40 - x) = 128  
      Final Equations:  
           (x - 5)(40 - x) = 128  
   "  

"A cottage industry produces a certain number of toys in a day. The cost of production of each toy (in rupees) was found to be 55 minus the number of articles produced in a day. On a particular day, the total cost of production was Rs. 750. If x denotes the number of toys produced that day, form the quadratic equation to find x.","
      1. Let x be the number of toys produced in a day.  
      2. The cost per toy is (55 - x) rupees.  
      3. The total cost of production is given by:  
           x(55 - x) = 750  
      Final Equations:  
           x(55 - x) = 750  
   "  

"The height of a right triangle is 7 cm less than its base. If the hypotenuse is 13 cm, form the quadratic equation to find the base of the triangle.","
      1. Let x be the base of the right triangle.  
      2. The height is (x - 7).  
      3. Using the Pythagorean theorem:  
           x² + (x - 7)² = 13²  
      Final Equations:  
           x² + (x - 7)² = 169  
   "  

"An express train takes 1 hour less than a passenger train to travel 132 km between Mysore and Bangalore. If the average speed of the express train is 11 km/h more than that of the passenger train, form the quadratic equation to find the average speed of the express train.","
      1. Let x be the speed of the passenger train in km/h.  
      2. The speed of the express train is (x + 11) km/h.  
      3. The time taken by the passenger train is (132 / x) hours.  
      4. The time taken by the express train is (132 / (x + 11)) hours.  
      5. Given that the express train takes 1 hour less:  
           (132 / x) - (132 / (x + 11)) = 1  
      Final Equations:  
           (132 / x) - (132 / (x + 11)) = 1  
   "  

"A train travels 360 km at a uniform speed. If the speed had been 5 km/h more, it would have taken 1 hour less for the same journey. Find the speed of the train.","
      1. Let x be the speed of the train in km/h.  
      2. The time taken to travel 360 km is (360 / x) hours.  
      3. If the speed were (x + 5) km/h, the time taken would be (360 / (x + 5)) hours.  
      4. Given that the faster train takes 1 hour less:  
           (360 / x) - (360 / (x + 5)) = 1  
      Final Equations:  
           (360 / x) - (360 / (x + 5)) = 1  
   "  
"Find the consecutive numbers whose squares have the sum 85.","
      1. Let x be the smaller number.  
      2. The next consecutive number is (x + 1).  
      3. Their squares sum up to:  
           x² + (x + 1)² = 85  
      Final Equations:  
           x² + (x + 1)² = 85  
   "  

"Divide 29 into two parts so that the sum of the squares of the parts is 425.","
      1. Let one part be x.  
      2. The other part is (29 - x).  
      3. The sum of their squares is:  
           x² + (29 - x)² = 425  
      Final Equations:  
           x² + (29 - x)² = 425  
   "  

"Two squares have sides x cm and (x + 4) cm. The sum of their areas is 656 cm². Find the sides of the squares.","
      1. Let x be the side of the smaller square.  
      2. The side of the larger square is (x + 4).  
      3. The sum of their areas is:  
           x² + (x + 4)² = 656  
      Final Equations:  
           x² + (x + 4)² = 656  
   "  

"The sum of two numbers is 48 and their product is 432. Find the numbers.","
      1. Let the two numbers be x and (48 - x).  
      2. Their product is given by:  
           x(48 - x) = 432  
      Final Equations:  
           x(48 - x) = 432  
   "  

"If an integer is added to its square, the sum is 90. Find the integer with the help of a quadratic equation.","
      1. Let the integer be x.  
      2. Given that the sum of the integer and its square is 90:  
           x² + x = 90  
      Final Equations:  
           x² + x = 90  
   "  
"Find the whole numbers which when decreased by 20 is equal to 69 times the reciprocal of the number.",  
   "      1. Let the number be x.  
      2. According to the given condition:  
           x - 20 = 69/x  
      Final Equations:  
           x - 20 = 69/x  
   "  

"Find the two consecutive natural numbers whose product is 20.",  
   "      1. Let the smaller number be x.  
      2. The next consecutive number is (x + 1).  
      3. Their product is given by:  
           x(x + 1) = 20  
      Final Equations:  
           x(x + 1) = 20  
   "  

"The sum of the squares of the two consecutive odd positive integers is 394. Find them.",  
   "      1. Let the smaller odd integer be x.  
      2. The next consecutive odd integer is (x + 2).  
      3. Their squares sum up to:  
           x² + (x + 2)² = 394  
      Final Equations:  
           x² + (x + 2)² = 394  
   "  

"The sum of two numbers is 8 and 15 times the sum of their reciprocals is also 8. Find the numbers.",  
   "      1. Let the two numbers be x and (8 - x).  
      2. Their reciprocal sum condition gives:  
           15 * (1/x + 1/(8 - x)) = 8  
      Final Equations:  
           15 * (1/x + 1/(8 - x)) = 8  
   "  

"The sum of a number and its positive square root is 6/25. Find the number.",  
   "      1. Let the number be x.  
      2. Given condition:  
           x + √x = 6/25  
      Final Equations:  
           x + √x = 6/25  
   "  

"The sum of a number and its square is 63/4. Find the numbers.",  
   "      1. Let the number be x.  
      2. Given condition:  
           x + x² = 63/4  
      Final Equations:  
           x + x² = 63/4  
   "  

"There are three consecutive integers such that the square of the first increased by the product of the other two gives 154. What are the integers?",  
   "      1. Let the three consecutive integers be x, (x + 1), and (x + 2).  
      2. Given condition:  
           x² + (x + 1)(x + 2) = 154  
      Final Equations:  
           x² + (x + 1)(x + 2) = 154  
   "  

"The product of two successive integral multiples of 5 is 300. Determine the multiples.",  
   "      1. Let the smaller multiple be 5x.  
      2. The next successive multiple is 5(x + 1).  
      3. Their product is given by:  
           5x * 5(x + 1) = 300  
      Final Equations:  
           5x * 5(x + 1) = 300  
   "  

"The sum of the squares of two numbers is 233, and one of the numbers is 3 less than twice the other number. Find the numbers.",  
   "      1. Let the smaller number be x.  
      2. The second number is given by (2x - 3).  
      3. Their squares sum up to:  
           x² + (2x - 3)² = 233  
      Final Equations:  
           x² + (2x - 3)² = 233  
   "  

"Find the consecutive even integers whose squares have the sum 340.",  
   "      1. Let the smaller even integer be x.  
      2. The next consecutive even integer is (x + 2).  
      3. Their squares sum up to:  
           x² + (x + 2)² = 340  
      Final Equations:  
           x² + (x + 2)² = 340  
   "  

"The difference of two numbers is 4. If the difference of their reciprocals is 4/21. Find the numbers.",  
   "      1. Let the two numbers be x and (x + 4).  
      2. Given condition:  
           (1/x) - (1/(x + 4)) = 4/21  
      Final Equations:  
           (1/x) - (1/(x + 4)) = 4/21  
   "  

"Let us find two natural numbers which differ by 3 and whose squares have the sum 117.",  
   "      1. Let the smaller number be x.  
      2. The second number is (x + 3).  
      3. Their squares sum up to:  
           x² + (x + 3)² = 117  
      Final Equations:  
           x² + (x + 3)² = 117  
   "  

"The sum of the squares of three consecutive natural numbers is 149. Find the numbers.",  
   "      1. Let the three consecutive natural numbers be x, (x + 1), and (x + 2).  
      2. Given condition:  
           x² + (x + 1)² + (x + 2)² = 149  
      Final Equations:  
           x² + (x + 1)² + (x + 2)² = 149  
   "  

"Sum of two numbers is 16. The sum of their reciprocals is 1/3. Find the numbers.",  
   "      1. Let the two numbers be x and (16 - x).  
      2. Given condition:  
           (1/x) + (1/(16 - x)) = 1/3  
      Final Equations:  
           (1/x) + (1/(16 - x)) = 1/3  
   "  

"Determine two consecutive multiples of 3, whose product is 270.",  
   "      1. Let the smaller multiple be 3x.  
      2. The next consecutive multiple is 3(x + 1).  
      3. Their product is given by:  
           3x * 3(x + 1) = 270  
      Final Equations:  
           3x * 3(x + 1) = 270  
   "  
"The sum of a number and its reciprocal is 17/4. Find the number.",  
   "      1. Let the number be x.  
      2. Given condition:  
           x + (1/x) = 17/4  
      Final Equations:  
           x + (1/x) = 17/4  
   "  

"A two-digit number is such that the product of its digits is 8. When 18 is subtracted from the number, the digits interchange their places. Find the number?",  
   "      1. Let the two-digit number be 10x + y, where x is the tens digit and y is the units digit.  
      2. Given conditions:  
           x * y = 8  
           (10x + y) - 18 = 10y + x  
      Final Equations:  
           x * y = 8  
           10x + y - 18 = 10y + x  
   "  

"A two-digit number is such that the product of the digits is 12. When 36 is added to the number, the digits interchange their places. Determine the number.",  
   "      1. Let the two-digit number be 10x + y, where x is the tens digit and y is the units digit.  
      2. Given conditions:  
           x * y = 12  
           (10x + y) + 36 = 10y + x  
      Final Equations:  
           x * y = 12  
           10x + y + 36 = 10y + x  
   "  

"A two-digit number is such that the product of the digits is 16. When 54 is subtracted from the number, the digits are interchanged. Find the number.",  
   "      1. Let the two-digit number be 10x + y, where x is the tens digit and y is the units digit.  
      2. Given conditions:  
           x * y = 16  
           (10x + y) - 54 = 10y + x  
      Final Equations:  
           x * y = 16  
           10x + y - 54 = 10y + x  
   "  
"Two numbers differ by 3 and their product is 504. Find the numbers",  
   "      1. Let the two numbers be x and (x + 3).  
      2. Given condition:  
           x * (x + 3) = 504  
      Final Equations:  
           x^2 + 3x - 504 = 0  
   "  

"Two numbers differ by 4 and their product is 192. Find the numbers?",  
   "      1. Let the two numbers be x and (x + 4).  
      2. Given condition:  
           x * (x + 4) = 192  
      Final Equations:  
           x^2 + 4x - 192 = 0  
   "  

"A two-digit number is 4 times the sum of its digits and twice the product of its digits. Find the number.",  
   "      1. Let the two-digit number be 10x + y, where x is the tens digit and y is the units digit.  
      2. Given conditions:  
           10x + y = 4(x + y)  
           10x + y = 2(x * y)  
      Final Equations:  
           10x + y - 4x - 4y = 0  
           10x + y - 2xy = 0  
   "  

"The difference of squares of two numbers is 180. The square of the smaller number is 8 times the larger number. Find two numbers.",  
   "      1. Let the two numbers be x and y, where x > y.  
      2. Given conditions:  
           x^2 - y^2 = 180  
           y^2 = 8x  
      Final Equations:  
           x^2 - 8x - 180 = 0  
   "  

"The sum of two numbers is 18. The sum of their reciprocals is 1/4. Find the numbers.",  
   "      1. Let the two numbers be x and y.  
      2. Given conditions:  
           x + y = 18  
           (1/x) + (1/y) = 1/4  
      Final Equations:  
           xy = 72  
           x + y = 18  
   "  

"The sum of two numbers is 9. The sum of their reciprocals is 1/2. Find the numbers.",  
   "      1. Let the two numbers be x and y.  
      2. Given conditions:  
           x + y = 9  
           (1/x) + (1/y) = 1/2  
      Final Equations:  
           xy = 18  
           x + y = 9  
   "  

"Three consecutive positive integers are such that the sum of the square of the first and the product of the other two is 46. Find the integers.",  
   "      1. Let the three consecutive integers be x, (x + 1), and (x + 2).  
      2. Given condition:  
           x^2 + (x + 1)(x + 2) = 46  
      Final Equations:  
           x^2 + x^2 + 3x + 2 = 46  
           2x^2 + 3x - 44 = 0  
   "  

"The difference of squares of two numbers is 88. If the larger number is 5 less than twice the smaller number, then find the two numbers.",  
   "      1. Let the two numbers be x and y, where x > y.  
      2. Given conditions:  
           x^2 - y^2 = 88  
           x = 2y - 5  
      Final Equations:  
           (2y - 5)^2 - y^2 = 88  
   "  

"The speed of a boat in still water is 8 km/hr. It can go 15 km upstream and 22 km downstream in 5 hours. Find the speed of the stream.",  
   "      1. Let the speed of the stream be x km/hr.  
      2. The effective speed upstream = (8 - x) km/hr, and the effective speed downstream = (8 + x) km/hr.  
      3. Given that the total time taken for the journey is 5 hours:  
           (15 / (8 - x)) + (22 / (8 + x)) = 5  
      Final Equation:  
           (15 / (8 - x)) + (22 / (8 + x)) = 5  
   "  

"A passenger train takes 3 hours less for a journey of 360 km, if its speed is increased by 10 km/hr from its usual speed. What is the usual speed?",  
   "      1. Let the usual speed of the train be x km/hr.  
      2. The time taken at usual speed = 360 / x hours.  
      3. The time taken at increased speed = 360 / (x + 10) hours.  
      4. Given condition:  
           (360 / x) - (360 / (x + 10)) = 3  
      Final Equation:  
           (360 / x) - (360 / (x + 10)) = 3  
   "  

"A fast train takes one hour less than a slow train for a journey of 200 km. If the speed of the slow train is 10 km/hr less than that of the fast train, find the speed of the two trains.",  
   "      1. Let the speed of the fast train be x km/hr, and the slow train be (x - 10) km/hr.  
      2. The time taken by the fast train = 200 / x hours.  
      3. The time taken by the slow train = 200 / (x - 10) hours.  
      4. Given condition:  
           (200 / (x - 10)) - (200 / x) = 1  
      Final Equation:  
           (200 / (x - 10)) - (200 / x) = 1  
   "  

"A passenger train takes one hour less for a journey of 150 km if its speed is increased by 5 km/hr from its usual speed. Find the usual speed of the train.",  
   "      1. Let the usual speed of the train be x km/hr.  
      2. The time taken at usual speed = 150 / x hours.  
      3. The time taken at increased speed = 150 / (x + 5) hours.  
      4. Given condition:  
           (150 / x) - (150 / (x + 5)) = 1  
      Final Equation:  
           (150 / x) - (150 / (x + 5)) = 1  
   "  
"The time taken by a person to cover 150 km was 2.5 hrs more than the time taken in the return journey. If he returned at a speed of 10 km/hr more than the speed of going, what was the speed per hour in each direction?", 
"1. Let the speed while going be `x` km/hr.  
2. The return speed is `x + 10` km/hr.  
3. Time taken while going = `150 / x`.  
4. Time taken while returning = `150 / (x + 10)`.  
5. The time difference is given as 2.5 hours more while going.  
Final Equation: 150 / x - 150 / (x + 10) = 2.5"

"A plane left 40 minutes late due to bad weather and in order to reach its destination, 1600 km away in time, it had to increase its speed by 400 km/hr from its usual speed. Find the usual speed of the plane.", 
"1. Let the usual speed of the plane be `x` km/hr.  
2. The time it should have taken to cover the distance of 1600 km with its usual speed is `1600 / x`.  
3. Due to bad weather, the plane left 40 minutes late. It had to increase its speed by 400 km/hr, so the new speed is `x + 400`.  
4. The time taken with the increased speed is `1600 / (x + 400)`.  
Final Equation: 1600 / x - 1600 / (x + 400) = 2 / 3"

"An aeroplane takes 1 hour less for a journey of 1200 km if its speed is increased by 100 km/hr from its usual speed. Find its usual speed.", 
"1. Let the usual speed of the plane be `x` km/hr.  
2. The time taken for the journey at the usual speed is `1200 / x`.  
3. The time taken with the increased speed of `x + 100` km/hr is `1200 / (x + 100)`.  
4. The time difference is 1 hour.  
Final Equation: 1600 / x - 1600 / (x + 400) = 2 / 3"

"An aeroplane takes 1 hour less for a journey of 1200 km if its speed is increased by 100 km/hr from its usual speed. Find its usual speed.", 
"1. Let the usual speed of the plane be `x` km/hr.  
2. The time taken for the journey at the usual speed is `1200 / x`.  
3. The time taken with the increased speed of `x + 100` km/hr is `1200 / (x + 100)`.  
4. The time difference is 1 hour.  
Final Equation: 1200 / x - 1200 / (x + 100) = 1"

"A passenger train takes 2 hours less for a journey of 300 km if its speed is increased by 5 km/hr from its usual speed. Find the usual speed of the train.", 
"1. Let the usual speed of the train be `x` km/hr.  
2. Time taken for the journey at the usual speed is `300 / x`.  
3. The time taken with the increased speed of `x + 5` km/hr is `300 / (x + 5)`.  
4. The difference in time is 2 hours.  
Final Equation: 300 / x - 300 / (x + 5) = 2"

"A train travels at a certain average speed for a distance 63 km and then travels a distance of 72 km at an average speed of 6 km/hr more than the original speed, If it takes 3 hours to complete total journey, what is its original average speed?", 
"1. Let the original average speed be `x` km/hr.  
2. Time taken for the 63 km journey is `63 / x`.  
3. Time taken for the 72 km journey at the increased speed of `x + 6` km/hr is `72 / (x + 6)`.  
4. The total time is 3 hours.  
Final Equation: 63 / x + 72 / (x + 6) = 3"

"A train covers a distance of 90 km at a uniform speed. Had the speed been 15 km/hour more, it would have taken 30 minutes less for a journey. Find the original speed of the train.", 
"1. Let the original speed of the train be `x` km/hr.  
2. The time taken at the original speed is `90 / x`.  
3. The time taken at the increased speed of `x + 15` km/hr is `90 / (x + 15)`.  
4. The time difference is 30 minutes or 0.5 hours.  
Final Equation: 90 / x - 90 / (x + 15) = 0.5"

"A train travels 360 km at a uniform speed. If the speed had been 5 km/h more, it would have taken 1 hour less for the same journey. Find the speed of the train.", 
"1. Let the original speed of the train be `x` km/hr.  
2. The time taken at the original speed is `360 / x`.  
3. The time taken with the increased speed of `x + 5` km/hr is `360 / (x + 5)`.  
4. The time difference is 1 hour.  
Final Equation: 360 / x - 360 / (x + 5) = 1"

"An express train takes 1 hour less than a passenger train to travel 132 km between Mysore and Bangalore (without taking into consideration the time they stop at intermediate stations). If the average speed of the express train is 11 km/h more than that of the passenger train, find the average speed of the two trains.", 
"1. Let the speed of the passenger train be `x` km/hr.  
2. The speed of the express train is `x + 11` km/hr.  
3. Time taken by the passenger train is `132 / x`.  
4. Time taken by the express train is `132 / (x + 11)`.  
5. The difference in time is 1 hour. 
Final Equation: 132 / x - 132 / (x + 11) = 1"

"An aeroplane left 50 minutes later than its scheduled time, and in order to reach the destination, 1250 km away, in time, it had to increase its speed by 250 km/hr from its usual speed. Find its usual speed.", 
"1. Let the usual speed of the aeroplane be `x` km/hr.  
2. The time it would have taken to cover 1250 km with the usual speed is `1250 / x`.  
3. Due to the 50-minute delay, the new speed is `x + 250` km/hr.  
4. The time taken with the new speed is `1250 / (x + 250)`.  
Final Equation: 1250 / x - 1250 / (x + 250) = 5 / 6"

"While boarding an aeroplane, a passenger got hurt. The pilot showing promptness and concern, made arrangements to hospitalise the injured and so the plane started late by 30 minutes to reach the destination, 1500 km away in time, the pilot increased the speed by 100 km/hr. Find the original speed/hour of the plane.", 
"1. Let the original speed of the aeroplane be `x` km/hr.  
2. The time it would have taken with the original speed is `1500 / x`.  
3. The new speed after the increase is `x + 100` km/hr.  
4. The time taken with the new speed is `1500 / (x + 100)`.  
5. The difference in time is 30 minutes or 0.5 hours.
Final Equation: 1500 / x - 1500 / (x + 100) = 0.5"

"A motor boat whose speed in still water is 18 km/hr takes 1 hour more to go 24 km upstream than to return downstream to the same spot. Find the speed of the stream.", 
"1. Let the speed of the stream be `x` km/hr.  
2. The speed of the boat upstream is `18 - x` km/hr.  
3. The speed of the boat downstream is `18 + x` km/hr.  
4. Time taken to go upstream is `24 / (18 - x)`.  
5. Time taken to return downstream is `24 / (18 + x)`.  
6. The difference in time is 1 hour.  
Final Equation: 24 / (18 - x) - 24 / (18 + x) = 1"

"A car moves a distance of 2592 km with uniform speed. The number of hours taken for the journey is one-half the number representing the speed, in km/hour. Find the time taken to cover the distance.", 
"1. Let the speed of the car be `x` km/hr.  
2. The time taken to cover the distance is `2592 / x`.  
3. The time is half of the speed.
Final Equation: 2592 / x = x / 2"

"Ashu is x years old while his mother Veena is x² years old. Five years hence Veena will be three times as old as Ashu. Find their present ages.",  
"1. Let Ashu's present age be `x` years.  
2. Veena's present age is `x²` years.  
3. Five years hence, Ashu's age will be `x + 5` years, and Veena's age will be `x² + 5` years.  
Final Equation: x² + 5 = 3(x + 5)"

"The sum of ages of a man and his own son is 45 years. Five years ago, the product of their ages was four times the man's age at the time. Find their present ages.",  
"1. Let the man's age be `x` years and his son's age be `y` years.  
2. The sum of their ages:  x + y = 45
3. Five years ago, their ages were `(x - 5)` and `(y - 5)`, and the product of these ages was four times the man's age at that time
Final Equations: x + y = 45 and (x - 5)(y - 5) = 4(x - 5)"

"The product of Shikha's age five years ago and her age 8 years later is 30, her age at both times being given in years. Find her present age.",  
"1. Let Shikha's present age be `x` years.  
2. Her age five years ago was `(x - 5)`.  
3. Her age eight years later will be `(x + 8)`.  
4. Given that their product is 30
Final Equation: (x - 5)(x + 8) = 30"

"The product of Ramu's age five years ago and his age nine years later is 15. Determine his present age.",  
"1. Let Ramu's present age be `x` years.  
2. His age five years ago was `(x - 5)`.  
3. His age nine years later will be `(x + 9)`.  
4. Given that their product is 15 
Final Equation: (x - 5)(x + 9) = 15"

"The sum of the ages of two friends is 20 years. Four years ago, the product of their ages was 48. Find their ages.",  
"1. Let the ages of the two friends be `x` and `y`.  
2. Their sum is given by: x + y = 20.
3. Four years ago, their ages were `(x - 4)` and `(y - 4)`, and their product was 48.
Final Equations: x + y = 20 and (x - 4)(y - 4) = 48"

"A girl is twice as old as her sister. Four years hence, the product of their ages (in years) will be 160. Find their present ages.",  
"1. Let the sister’s present age be `x` years.  
2. The girl’s present age is `2x`.  
3. Four years hence, their ages will be `(x + 4)` and `(2x + 4)`.  
4. Given that their product will be 160.
Final Equation: (x + 4)(2x + 4) = 160"

"The sum of the reciprocals of Rehman's ages, 3 years ago and 5 years from now is 1/3. Find his present age.",  
